Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	Рассказчик
00:01:51.280	00:01:53.970	00:00:02.690	коммунистический проспект тридцать один дробь два.
00:01:53.973	00:01:54.721	00:00:00.748	Угу,
00:01:54.735	00:01:55.801	00:00:01.066	хорошо.
00:01:55.805	00:01:56.748	00:00:00.943	А(0.3) вот этот мужчина,
00:01:56.765	00:01:57.690	00:00:00.925	он когда вернулся,
00:01:57.704	00:01:58.558	00:00:00.854	он один пришёл?
00:01:58.561	00:01:58.769	00:00:00.208	Да,
00:01:58.779	00:01:59.181	00:00:00.402	один.
00:01:59.186	00:01:59.708	00:00:00.522	Один,
00:01:59.721	00:02:00.075	00:00:00.354	угу.
00:02:00.084	00:02:00.566	00:00:00.482	А помнишь |E|
00:02:00.566	00:02:01.858	00:00:01.292	какие кириешки он взял?
00:02:02.204	00:02:02.681	00:00:00.477	Да,
00:02:02.686	00:02:05.778	00:00:03.092	а(0.3) с-с к= хреном,
00:02:05.809	00:02:07.177	00:00:01.368	такие зелёненькая пачка,
00:02:07.186	00:02:08.270	00:00:01.084	самые дешёвые,
00:02:08.279	00:02:10.447	00:00:02.168	на что ему ...(0.1) в принципе только хватает наверное.
00:02:10.460	00:02:12.000	00:00:01.540	{СМЕХ}
00:02:12.009	00:02:13.221	00:00:01.212	Спасибо.
00:02:13.230	00:02:15.061	00:00:01.831	{СМЕХ}

